iter	Passed	Remaining
0	59	58968
1	59	29576
2	59	19778
3	59	14906
4	60	11957
5	60	10001
6	60	8625
7	61	7568
8	61	6745
9	61	6088
10	61	5550
11	61	5100
12	62	4719
13	62	4393
14	62	4109
15	62	3862
16	63	3644
17	63	3450
18	63	3276
19	63	3120
20	63	2977
21	64	2848
22	64	2731
23	64	2623
24	64	2523
25	64	2432
26	65	2346
27	65	2268
28	65	2194
29	65	2125
30	65	2061
31	66	2001
32	66	1944
33	66	1891
34	66	1840
35	66	1793
36	67	1748
37	67	1706
38	67	1666
39	67	1628
40	68	1591
41	68	1556
42	68	1523
43	68	1491
44	68	1461
45	69	1432
46	69	1404
47	69	1378
48	69	1352
49	69	1328
50	70	1304
51	70	1281
52	70	1259
53	70	1238
54	70	1218
55	71	1198
56	71	1180
57	71	1161
58	71	1144
59	71	1127
60	72	1110
61	72	1095
62	72	1079
63	72	1064
64	73	1050
65	73	1036
66	73	1022
67	73	1009
68	73	996
69	74	983
70	74	971
71	74	959
72	74	947
73	74	936
74	75	925
75	75	914
76	75	904
77	75	894
78	75	884
79	76	874
80	76	864
81	76	855
82	76	845
83	76	836
84	76	827
85	77	819
86	77	811
87	77	803
88	77	795
89	77	787
90	78	780
91	78	772
92	78	765
93	78	758
94	78	751
95	79	744
96	79	738
97	79	732
98	79	725
99	79	719
100	80	713
101	80	707
102	80	701
103	80	695
104	80	690
105	81	684
106	81	678
107	81	673
108	81	668
109	81	663
110	82	658
111	82	653
112	82	648
113	82	643
114	82	638
115	83	633
116	83	628
117	83	624
118	83	619
119	83	615
120	84	610
121	84	606
122	84	602
123	84	598
124	84	594
125	85	590
126	85	585
127	85	581
128	85	578
129	85	574
130	86	570
131	86	567
132	86	563
133	86	560
134	86	556
135	87	553
136	87	549
137	87	546
138	87	543
139	87	539
140	88	536
141	88	532
142	88	529
143	88	526
144	88	523
145	89	520
146	89	517
147	89	514
148	89	511
149	89	508
150	90	506
151	90	503
152	90	500
153	90	497
154	90	495
155	91	492
156	91	489
157	91	487
158	91	484
159	91	481
160	91	478
161	92	476
162	92	473
163	92	471
164	92	469
165	92	466
166	93	464
167	93	462
168	93	460
169	93	458
170	94	455
171	94	453
172	94	451
173	94	449
174	94	447
175	95	445
176	95	443
177	95	440
178	95	438
179	95	436
180	96	434
181	96	432
182	96	430
183	96	428
184	96	426
185	97	424
186	97	423
187	97	421
188	97	419
189	97	417
190	98	415
191	98	414
192	98	412
193	98	410
194	99	408
195	99	407
196	99	405
197	99	403
198	99	401
199	100	400
200	100	398
201	100	397
202	100	395
203	100	393
204	101	392
205	101	390
206	101	389
207	101	387
208	102	386
209	102	384
210	102	383
211	102	381
212	102	379
213	103	378
214	103	377
215	103	375
216	103	374
217	103	372
218	104	371
219	104	369
220	104	368
221	104	367
222	104	365
223	105	364
224	105	363
225	105	361
226	105	360
227	106	358
228	106	357
229	106	356
230	106	354
231	106	353
232	107	352
233	107	351
234	107	349
235	107	348
236	107	347
237	108	346
238	108	344
239	108	343
240	108	342
241	108	341
242	109	339
243	109	338
244	109	337
245	109	336
246	109	335
247	110	334
248	110	332
249	110	331
250	110	330
251	110	329
252	111	328
253	111	327
254	111	326
255	111	324
256	111	323
257	112	322
